Date,total,returns
2022-06-06,9605953.056242606,0.0
2022-06-07,9605953.056242606,0.0
2022-06-08,9605953.056242606,0.0
2022-06-09,9605953.056242606,0.0
2022-06-10,9605953.056242606,0.0
2022-06-11,9605953.056242606,0.0
2022-06-12,9605953.056242606,0.0
2022-06-13,9605953.056242606,0.0
2022-06-14,9605953.056242606,0.0
2022-06-15,9605953.056242606,0.0
2022-06-16,9605953.056242606,0.0
2022-06-17,9605953.056242606,0.0
2022-06-18,9605953.056242606,0.0
2022-06-19,9605953.056242606,0.0
2022-06-20,9605953.056242606,0.0
2022-06-21,9605953.056242606,0.0
2022-06-22,9605953.056242606,0.0
2022-06-23,9605953.056242606,0.0
2022-06-24,9605953.056242606,0.0
2022-06-25,9605953.056242606,0.0
2022-06-26,9605953.056242606,0.0
2022-06-27,9605953.056242606,0.0
2022-06-28,9605953.056242606,0.0
2022-06-29,9605953.056242606,0.0
2022-06-30,9605953.056242606,0.0
2022-07-01,9605953.056242606,0.0
2022-07-02,9605953.056242606,0.0
2022-07-03,9605953.056242606,0.0
2022-07-04,9605953.056242606,0.0
2022-07-05,9605953.056242606,0.0
2022-07-06,9605953.056242606,0.0
2022-07-07,9605953.056242606,0.0
2022-07-08,9605953.056242606,0.0
2022-07-09,9605953.056242606,0.0
2022-07-10,9605953.056242606,0.0
2022-07-11,9605953.056242606,0.0
2022-07-12,9605953.056242606,0.0
2022-07-13,9605953.056242606,0.0
2022-07-14,9605953.056242606,0.0
2022-07-15,9605953.056242606,0.0
2022-07-16,9605953.056242606,0.0
2022-07-17,9605953.056242606,0.0
2022-07-18,9605953.056242606,0.0
2022-07-19,9605953.056242606,0.0
2022-07-20,9605953.056242606,0.0
2022-07-21,9605953.056242606,0.0
2022-07-22,9605953.056242606,0.0
2022-07-23,9605953.056242606,0.0
2022-07-24,9605953.056242606,0.0
2022-07-25,9605953.056242606,0.0
2022-07-26,9605953.056242606,0.0
2022-07-27,9605953.056242606,0.0
2022-07-28,9605953.056242606,0.0
2022-07-29,9605953.056242606,0.0
2022-07-30,9605953.056242606,0.0
2022-07-31,9605953.056242606,0.0
2022-08-01,9605953.056242606,0.0
2022-08-02,9605953.056242606,0.0
2022-08-03,9605953.056242606,0.0
2022-08-04,9605953.056242606,0.0
2022-08-05,9605953.056242606,0.0
2022-08-06,9605953.056242606,0.0
2022-08-07,9605953.056242606,0.0
2022-08-08,9605953.056242606,0.0
2022-08-09,9605953.056242606,0.0
2022-08-10,9605953.056242606,0.0
2022-08-11,9605953.056242606,0.0
2022-08-12,9605953.056242606,0.0
2022-08-13,9605953.056242606,0.0
2022-08-14,9605953.056242606,0.0
